Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic_x,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic_x,Version,CommitId,BaseFileName,AvgCyclomatic_y,SumCyclomatic_y,SumDeclMethod,Bogue
File,ACLConfigurationParser.java,11.0,0.0,11.0,0.0,3.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,10.0,0.0,0.0,0.0,10.0,10.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,167.0,22.0,125.0,38.0,70.0,20.0,0.0,0.0,0.0,57.0,89.0,37.0,0.0,58.0,0.0,11.0,0.0,3.0,0.0,0.0,"0,16",29.0,rel/release-3.0.0,f1f26504642ecf7fc1cd8fd046f24920a2f0051b,ACLConfigurationParser,2.9,29.0,0.0,1
File,AMReporter.java,12.0,0.0,11.0,1.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,39.0,0.0,0.0,0.0,39.0,39.0,33.0,0.0,0.0,0.0,39.0,0.0,0.0,11.0,0.0,2.0,4.0,22.0,0.0,604.0,69.0,475.0,179.0,248.0,60.0,0.0,0.0,0.0,231.0,319.0,162.0,0.0,190.0,0.0,7.0,0.0,4.0,0.0,0.0,"0,13",76.0,rel/release-3.0.0,f1f26504642ecf7fc1cd8fd046f24920a2f0051b,AMReporter,2.4444444444444446,22.0,23.0,0
File,ASTBuilder.java,17.0,1.0,16.0,1.0,5.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,1.0,19.0,0.0,0.0,0.0,19.0,4.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,395.0,37.0,326.0,72.0,246.0,32.0,0.0,0.0,0.0,150.0,184.0,68.0,0.0,132.0,0.0,66.0,0.0,2.0,0.0,0.0,"0,10",95.0,rel/release-3.0.0,f1f26504642ecf7fc1cd8fd046f24920a2f0051b,ASTBuilder,5.222222222222221,94.0,0.0,1
File,ASTConverter.java,18.0,1.0,15.0,2.0,4.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,41.0,0.0,0.0,0.0,41.0,39.0,26.0,0.0,0.0,0.0,41.0,0.0,0.0,12.0,0.0,9.0,3.0,17.0,0.0,931.0,106.0,726.0,254.0,457.0,99.0,0.0,0.0,0.0,383.0,559.0,263.0,0.0,369.0,0.0,20.0,0.0,5.0,0.0,0.0,"0,14",159.0,rel/release-3.0.0,f1f26504642ecf7fc1cd8fd046f24920a2f0051b,ASTConverter,5.4,54.0,30.0,1
File,ASTErrorNode.java,2.0,0.0,2.0,0.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,49.0,8.0,21.0,18.0,6.0,20.0,0.0,0.0,0.0,12.0,18.0,13.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,"0,95",5.0,rel/release-3.0.0,f1f26504642ecf7fc1cd8fd046f24920a2f0051b,ASTErrorNode,1.0,5.0,0.0,1
File,ASTNode.java,10.0,1.0,8.0,1.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,26.0,0.0,0.0,0.0,26.0,26.0,7.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,8.0,0.0,18.0,0.0,349.0,52.0,240.0,75.0,133.0,57.0,0.0,0.0,0.0,123.0,178.0,67.0,0.0,129.0,0.0,11.0,0.0,4.0,0.0,0.0,"0,24",58.0,rel/release-3.0.0,f1f26504642ecf7fc1cd8fd046f24920a2f0051b,ASTNode,2.230769230769231,58.0,0.0,1
File,ASTNodeOrigin.java,7.0,0.0,4.0,3.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,95.0,9.0,31.0,14.0,10.0,55.0,0.0,0.0,0.0,16.0,23.0,13.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,"1,77",6.0,rel/release-3.0.0,f1f26504642ecf7fc1cd8fd046f24920a2f0051b,ASTNodeOrigin,1.0,6.0,0.0,1
File,ATSHook.java,19.0,1.0,16.0,2.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,11.0,25.0,0.0,0.0,0.0,15.0,24.0,29.0,0.0,0.0,0.0,25.0,0.0,0.0,3.0,0.0,4.0,2.0,16.0,0.0,480.0,47.0,388.0,148.0,255.0,54.0,0.0,0.0,0.0,229.0,291.0,139.0,0.0,204.0,0.0,10.0,0.0,4.0,0.0,0.0,"0,14",56.0,rel/release-3.0.0,f1f26504642ecf7fc1cd8fd046f24920a2f0051b,ATSHook,3.636363636363636,40.0,10.0,1
File,AbortDroneException.java,3.0,0.0,3.0,0.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,29.0,1.0,10.0,5.0,3.0,18.0,0.0,0.0,0.0,4.0,7.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,"1,80",2.0,rel/release-3.0.0,f1f26504642ecf7fc1cd8fd046f24920a2f0051b,AbortDroneException,1.0,2.0,0.0,0
File,AbortTxnEvent.java,8.0,0.0,4.0,4.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,51.0,6.0,16.0,10.0,3.0,29.0,0.0,0.0,0.0,8.0,11.0,8.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,"1,81",2.0,rel/release-3.0.0,f1f26504642ecf7fc1cd8fd046f24920a2f0051b,AbortTxnEvent,1.0,2.0,0.0,0
