Feature,Importance
SumCyclomatic_y,0.056841118205488136
CountLine,0.03459235739503928
added_lines,0.03409857413297288
AvgCyclomatic_y,0.03367986650129839
CountStmt,0.03313323650429094
CountStmtDecl,0.03273135952436973
CountLineCode,0.031385598861043265
CountLineCodeExe,0.03128484588110136
CountSemicolon,0.03112739947488832
CountLineCodeDecl,0.030563742244086936
CountLineBlank,0.03036500464348373
RatioCommentToCode,0.028683497265465346
CountLineComment,0.028572944078593468
CountStmtExe,0.028307232424489924
MaxNesting,0.02675929161057218
commits,0.025509358948583125
SumCyclomatic_x,0.024479763588231312
CountDeclInstanceMethod,0.02326175894938238
global_developers,0.022926591492392043
developers,0.022729879767017947
AvgCountLine,0.02241472895220143
CountDeclFunction,0.022337151670952456
min_expertise,0.022305522326584955
CountDeclMethodPublic,0.022046855438186165
CountDeclMethod,0.02172763402970656
CountDeclInstanceVariable,0.02126597765782028
deleted_lines,0.021201960946013586
CountDeclExecutableUnit,0.020400692142381084
SumDeclMethod,0.02018789888500718
AvgCountLineCode,0.01974310821640676
mean_expertise,0.019599732466778774
MaxCyclomatic,0.019118729699817212
AvgCountLineComment,0.014678129064217548
comments_changed,0.01464405543605919
CountDeclClassVariable,0.014245822027057854
CountDeclMethodPrivate,0.012761364349833302
CountDeclMethodDefault,0.011785336752971508
average_time_between_changes,0.011610675884493238
global_average_time_between_changes,0.010572931571426428
CountDeclClassMethod,0.010198827587193931
AvgCyclomatic_x,0.009293625848766607
CountDeclClass,0.009148854426835763
CountDeclMethodProtected,0.009032639476680671
AvgCountLineBlank,0.007132230739995735
comments_unchanged,0.0010156252135427482
bug_fix_commits,0.0004234706100162351
CountLinePreprocessor,5.948797989834034e-05
CountStmtEmpty,1.214737183347205e-05
CountLineInactive,1.3617345302658287e-06
CountOutput,0.0
CCViolDensityCode,0.0
CountDeclInstanceVariablePrivate,0.0
CountDeclInstanceVariableProtected,0.0
CountDeclInstanceVariablePublic,0.0
CountDeclMethodAll,0.0
CountDeclMethodConst,0.0
CountDeclMethodFriend,0.0
CountInput,0.0
CountDeclFileHeader,0.0
CountDeclFileCode,0.0
CCViolDensityLine,0.0
CountDeclFile,0.0
CountCCViol,0.0
CountCCViolType,0.0
CountClassBase,0.0
PercentLackOfCohesionModified,0.0
PercentLackOfCohesion,0.0
CountClassCoupled,0.0
MaxInheritanceTree,0.0
Cyclomatic,0.0
CountClassCoupledModified,0.0
CountClassDerived,0.0
