Key,Summary,Status,Priority,Affected Versions
HIVE-28515,Iceberg: Concurrent queries fail during commit with ValidationException,Resolved,Major,4.0.0
HIVE-28487,Outdated MetastoreSchemaTool class reference in schemaTool.sh,Resolved,Minor,4.0.0
HIVE-28451,JDBC: TableName matcher fix in GenericJdbcDatabaseAccessor#addBoundaryToQuery,Resolved,Major,4.0.0
HIVE-28439,Iceberg: Bucket partition transform with DECIMAL can throw NPE,Resolved,Major,4.0.0
HIVE-28426,Manual import of mysql schema upgrade file fails,Resolved,Minor,4.0.0
HIVE-28366,Iceberg: Concurrent Insert and IOW produce incorrect result ,Resolved,Major,4.0.0
HIVE-28360,"Upgrade jersey to version 1.19.4,",Resolved,Major,3.1.3
HIVE-28353,Iceberg: Reading *Files Metadata table files if the column is of TIMESTAMP type,Resolved,Major,4.0.0
HIVE-28347,"Make a UDAF 'collect_set' work with complex types, even when map-side aggregation is disabled.",Resolved,Minor,"2.4.0, 3.1.3, 4.0.0"
HIVE-28330,Fix example output of UDFHex,Resolved,Major,4.0.0
HIVE-28285,Exception when querying JDBC tables with Hive/DB column types mismatch,Resolved,Major,4.0.0
HIVE-28278,Iceberg: Stats: IllegalStateException Invalid file: file length 0,Resolved,Major,4.0.0
HIVE-28277,HIVE does not support update operations for ICEBERG of type location_based_table.,Closed,Major,4.0.0
HIVE-28266,Iceberg: select count(*) from data_files metadata tables gives wrong result,Resolved,Major,4.0.0
HIVE-28264,OOM/slow compilation when query contains SELECT clauses with nested expressions,Resolved,Major,4.0.0
HIVE-28262,Single column use MultiDelimitSerDe parse column error,Resolved,Major,"3.1.3, 4.1.0"
HIVE-28239,Fix bug on HMSHandler#checkLimitNumberOfPartitions,Resolved,Major,4.0.0
HIVE-28217,The default jdbc port does not take effect,Resolved,Major,3.1.2
HIVE-28207,NullPointerException is thrown when checking column uniqueness,Resolved,Major,4.0.0
HIVE-28202,Incorrect projected column size after ORC upgrade to v1.6.7 ,Resolved,Critical,"4.0.0, 4.0.0-beta-1"
HIVE-28190,Materialized view rebuild lock heart-beating is broken,Resolved,Critical,4.0.0
HIVE-28173,Issues with staging dirs with materialized views on HDFS encrypted table,Resolved,Major,4.0.0
HIVE-28166,Iceberg: Truncate on branch operates on the main table,Resolved,Critical,4.0.0
HIVE-28143,"After HIVE-27492 fix, some HPLSQL built-in functions like trim, lower are not working when used in insert statement.",Resolved,Major,4.0.0
HIVE-28123,Add Generated Protobuf code for 3.24.4 Upgrade,Closed,Major,4.0.0
HIVE-28121,Use direct SQL for transactional altering table parameter,Resolved,Major,4.0.0
HIVE-28009,Shared work optimizer ignores schema merge setting in case of virtual column difference,Closed,Major,"4.0.0, 4.0.0-beta-1"
HIVE-28006,Materialized view with aggregate function incorrectly shows it allows incremental rebuild,Resolved,Major,"4.0.0, 4.0.0-beta-1, 4.1.0"
HIVE-27960,Invalid function error when using custom udaf,Closed,Major,"2.3.9, 4.0.0-beta-1"
HIVE-27801,Exists subquery rewrite results in a wrong plan,Closed,Critical,"4.0.0, 4.0.0-beta-1"
HIVE-27792,Corrected wrong hive-site.xml in docker,Resolved,Major,"3.1.3, 4.0.0-alpha-1, 4.0.0-alpha-2, 4.0.0-beta-1"
