file,added_lines,deleted_lines,commits,bug_fix_commits,developers,global_developers,average_time_between_changes,global_average_time_between_changes,mean_expertise,min_expertise,comments_changed,comments_unchanged
ql/src/test/org/apache/hadoop/hive/ql/TestTxnConcatenate.java,177,0,2,0,2,2,702458.0,702458.0,1.0,1,2,0
streaming/src/java/org/apache/hive/streaming/AbstractRecordWriter.java,830,286,6,1,1,1,484940.2,484940.2,6.0,6,4,2
common/src/java/org/apache/hadoop/hive/common/JavaUtils.java,207,135,14,2,6,6,2417186.076923077,4536172.142857143,2.5,1,11,3
common/src/java/org/apache/hadoop/hive/conf/HiveConf.java,3395,1180,397,20,57,67,163242.33080808082,103824.81167108753,13.0,1,280,117
ql/src/java/org/apache/hadoop/hive/ql/metadata/SessionHiveMetaStoreClient.java,501,48,18,2,11,13,2042220.6470588236,3551365.5,1.6363636363636365,1,14,4
druid-handler/src/test/org/apache/hadoop/hive/druid/serde/TestDruidSerDe.java,102,168,4,2,3,3,6420721.666666667,6420721.666666667,1.3333333333333333,1,3,1
ql/src/java/org/apache/hadoop/hive/ql/exec/FunctionTask.java,86,12,8,1,8,10,3944302.1428571427,5627532.384615385,1.25,1,6,2
ql/src/java/org/apache/hadoop/hive/ql/session/SessionState.java,895,219,58,2,25,30,1140217.8771929825,689485.6666666666,4.28,1,41,17
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/CastDecimalToFloat.java,43,0,1,0,1,1,0.0,0.0,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/udf/UDFToFloat.java,11,10,6,1,4,7,12313585.4,5065757.5,3.0,1,6,0
ql/src/test/org/apache/hadoop/hive/ql/exec/vector/expressions/TestVectorTypeCasts.java,167,50,9,1,7,10,5446303.125,4728040.333333333,1.8571428571428572,1,8,1
llap-server/src/java/org/apache/hadoop/hive/llap/io/api/impl/LlapIoImpl.java,522,268,26,2,4,6,2411902.4,1533498.9375,11.0,4,24,2
llap-server/src/java/org/apache/hadoop/hive/llap/io/encoded/SerDeEncodedDataReader.java,4245,861,28,1,5,5,1515652.3703703703,1023065.35,8.2,2,21,7
itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/metadata/TestAlterTableMetadata.java,72,0,1,0,1,1,0.0,0.0,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/exec/DDLTask.java,3578,1970,166,12,43,47,376848.0606060606,282107.1213235294,6.116279069767442,1,126,40
ql/src/java/org/apache/hadoop/hive/ql/metadata/Table.java,238,94,32,1,15,16,1888247.4193548388,1926094.3076923077,2.6,1,23,9
ql/src/java/org/apache/hadoop/hive/ql/metadata/formatting/JsonMetaDataFormatter.java,267,39,17,3,9,10,2921887.5,3709289.9411764704,1.8888888888888888,1,16,1
ql/src/java/org/apache/hadoop/hive/ql/metadata/formatting/MetaDataFormatUtils.java,1063,640,24,2,11,13,2608432.8260869565,2172551.935483871,2.727272727272727,1,20,4
ql/src/java/org/apache/hadoop/hive/ql/parse/DDLSemanticAnalyzer.java,2127,1079,108,5,30,34,643005.8971962617,525649.2291666666,4.633333333333334,1,92,16
ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzerFactory.java,171,57,31,1,15,19,1897198.0,1605364.680851064,2.8,1,30,1
ql/src/java/org/apache/hadoop/hive/ql/plan/AlterTableDesc.java,315,68,16,1,11,13,2299672.066666667,3686041.210526316,1.5454545454545454,1,13,3
ql/src/java/org/apache/hadoop/hive/ql/plan/HiveOperation.java,128,87,26,1,16,19,2276639.12,2095892.7777777778,2.0625,1,25,1
ql/src/java/org/apache/hadoop/hive/ql/security/authorization/plugin/HiveOperationType.java,42,6,24,1,13,15,2474607.7391304346,2375716.709677419,2.230769230769231,1,23,1
ql/src/java/org/apache/hadoop/hive/ql/security/authorization/plugin/sqlstd/Operation2Privilege.java,165,31,31,1,16,18,1897199.2666666666,1753505.1904761905,2.5,1,27,4
ql/src/java/org/apache/hadoop/hive/ql/exec/FunctionRegistry.java,412,166,57,2,23,28,1132855.4285714286,651067.8818181818,4.565217391304348,1,46,11
ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/stats/HiveRelMdPredicates.java,673,67,14,2,7,11,4746408.769230769,2729300.0714285714,3.5714285714285716,1,12,2
druid-handler/src/java/org/apache/hadoop/hive/druid/DruidStorageHandlerUtils.java,2613,1006,35,3,9,9,1626844.3529411764,1316969.238095238,4.777777777777778,1,25,10
druid-handler/src/java/org/apache/hadoop/hive/druid/serde/DruidSerDe.java,1863,792,36,2,7,7,1580363.0857142857,1043636.0,7.714285714285714,1,24,12
itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/TestMTQueries.java,10,8,8,1,6,7,7662449.571428572,7722730.3,1.6666666666666667,1,3,5
itests/util/src/main/java/org/apache/hadoop/hive/ql/QTestUtil.java,2201,1880,93,5,29,32,706179.0326086957,501333.2091503268,5.206896551724138,1,64,29
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/IfExprIntervalDayTimeColumnColumn.java,80,239,15,0,5,7,3566143.4285714286,3097237.0434782607,4.4,1,12,3
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/IfExprIntervalDayTimeColumnScalar.java,59,201,13,1,4,6,4160500.6666666665,3392212.0,5.0,1,11,2
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/IfExprIntervalDayTimeScalarColumn.java,83,227,13,1,4,6,4160500.6666666665,3392212.0,5.0,1,11,2
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/IfExprIntervalDayTimeScalarScalar.java,81,213,13,1,4,6,4160500.6666666665,3392212.0,5.0,1,11,2
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/IfExprTimestampColumnColumn.java,2,56,2,0,1,1,16972406.0,35618226.0,3.0,3,2,0
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/IfExprTimestampColumnColumnBase.java,65,208,15,0,5,7,3566143.4285714286,3097237.0434782607,4.4,1,12,3
