file,added_lines,deleted_lines,commits,bug_fix_commits,developers,global_developers,average_time_between_changes,global_average_time_between_changes,mean_expertise,min_expertise,comments_changed,comments_unchanged
ql/src/java/org/apache/hadoop/hive/ql/metadata/Hive.java,2174,942,71,2,23,23,629907.1,629907.1,3.0869565217391304,1,39,32
ql/src/java/org/apache/hadoop/hive/ql/session/SessionState.java,1556,567,66,2,21,21,1037002.9230769231,1037002.9230769231,3.142857142857143,1,28,38
hcatalog/core/src/main/java/org/apache/hive/hcatalog/mapreduce/DynamicPartitionFileRecordWriterContainer.java,45,15,6,0,4,4,7429590.6,7429590.6,1.5,1,4,2
ql/src/java/org/apache/hadoop/hive/ql/exec/TaskRunner.java,24,0,7,0,6,6,5694677.833333333,5694677.833333333,1.1666666666666667,1,1,6
llap-server/src/test/org/apache/hadoop/hive/llap/daemon/impl/TestQueryIdentifier.java,66,0,2,0,2,2,681266.0,681266.0,1.0,1,2,0
ql/src/java/org/apache/hadoop/hive/ql/exec/CommonMergeJoinOperator.java,1379,355,31,0,12,12,1368090.8,1368090.8,2.5833333333333335,1,12,19
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/MapRecordProcessor.java,577,338,25,1,10,10,1710113.5,1710113.5,2.5,1,13,12
service/src/java/org/apache/hive/service/cli/operation/LogDivertAppender.java,926,459,18,0,9,9,2240324.9411764704,2240324.9411764704,2.0,1,10,8
llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/ContainerRunnerImpl.java,1094,713,34,4,6,6,963334.6363636364,963334.6363636364,5.666666666666667,1,31,3
llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/QueryTracker.java,490,163,10,0,2,2,2670352.222222222,2670352.222222222,5.0,3,10,0
llap-server/src/java/org/apache/hadoop/hive/llap/shufflehandler/ShuffleHandler.java,1189,112,11,1,6,6,3179004.3,3179004.3,1.8333333333333333,1,9,2
common/src/java/org/apache/hadoop/hive/conf/HiveConf.java,3301,971,190,9,34,34,229960.6455026455,229960.6455026455,5.588235294117647,1,121,69
ql/src/java/org/apache/hadoop/hive/ql/optimizer/FixedBucketPruningOptimizer.java,343,3,3,0,3,3,3484722.5,3484722.5,1.0,1,2,1
ql/src/java/org/apache/hadoop/hive/ql/optimizer/Optimizer.java,280,104,41,0,17,17,1086564.05,1086564.05,2.411764705882353,1,21,20
llap-server/src/java/org/apache/hadoop/hive/llap/tezplugins/LlapDaemonProtocolClientProxy.java => llap-client/src/java/org/apache/hadoop/hive/llap/tez/LlapProtocolClientProxy.java,15,15,1,0,1,1,0.0,0.0,1.0,1,1,0
{llap-server/src/test/org/apache/hadoop/hive/llap/tezplugins => llap-client/src/test/org/apache/hadoop/hive/llap/tez}/TestLlapDaemonProtocolClientProxy.java,15,14,1,0,1,1,0.0,0.0,1.0,1,1,0
{llap-server => llap-common}/src/gen/protobuf/gen-java/org/apache/hadoop/hive/llap/daemon/rpc/LlapDaemonProtocolProtos.java,0,0,1,0,1,1,0.0,0.0,1.0,1,1,0
{llap-server => llap-common}/src/java/org/apache/hadoop/hive/llap/LlapNodeId.java,0,0,1,0,1,1,0.0,0.0,1.0,1,1,0
{llap-server/src/java/org/apache/hadoop/hive/llap/daemon => llap-common/src/java/org/apache/hadoop/hive/llap}/impl/LlapManagementProtocolClientImpl.java,9,9,1,0,1,1,0.0,0.0,1.0,1,1,0
llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/LlapDaemonProtocolClientImpl.java => llap-common/src/java/org/apache/hadoop/hive/llap/impl/LlapProtocolClientImpl.java,12,12,1,0,1,1,0.0,0.0,1.0,1,1,0
llap-server/src/java/org/apache/hadoop/hive/llap/daemon/LlapManagementProtocolBlockingPB.java => llap-common/src/java/org/apache/hadoop/hive/llap/protocol/LlapManagementProtocolPB.java,5,3,1,0,1,1,0.0,0.0,1.0,1,1,0
llap-server/src/java/org/apache/hadoop/hive/llap/daemon/LlapDaemonProtocolBlockingPB.java => llap-common/src/java/org/apache/hadoop/hive/llap/protocol/LlapProtocolBlockingPB.java,5,3,1,0,1,1,0.0,0.0,1.0,1,1,0
{llap-server => llap-common}/src/java/org/apache/hadoop/hive/llap/protocol/LlapTaskUmbilicalProtocol.java,0,0,1,0,1,1,0.0,0.0,1.0,1,1,0
{llap-client => llap-common}/src/java/org/apache/hadoop/hive/llap/security/LlapTokenIdentifier.java,0,0,1,0,1,1,0.0,0.0,1.0,1,1,0
{llap-client => llap-common}/src/java/org/apache/hadoop/hive/llap/security/LlapTokenProvider.java,0,0,1,0,1,1,0.0,0.0,1.0,1,1,0
{llap-server => llap-common}/src/java/org/apache/hadoop/hive/llap/security/LlapTokenSelector.java,0,0,1,0,1,1,0.0,0.0,1.0,1,1,0
{llap-server/src/java/org/apache/hadoop/hive/llap/tezplugins => llap-common/src/java/org/apache/hadoop/hive/llap/tez}/Converters.java,1,1,1,0,1,1,0.0,0.0,1.0,1,1,0
llap-common/src/test/org/apache/hadoop/hive/llap/testhelpers/ControlledClock.java,43,0,1,0,1,1,0.0,0.0,1.0,1,1,0
llap-server/src/java/org/apache/hadoop/hive/llap/cli/LlapServiceDriver.java,514,129,20,0,7,7,1510715.7368421052,1510715.7368421052,2.857142857142857,1,12,8
llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/LlapDaemon.java,699,257,41,4,9,9,794616.875,794616.875,4.555555555555555,1,29,12
llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/QueryFragmentInfo.java,184,10,4,0,1,1,7416135.0,7416135.0,4.0,4,4,0
llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/TaskRunnerCallable.java,738,243,29,5,6,6,893271.0714285715,893271.0714285715,4.833333333333333,1,22,7
llap-server/src/java/org/apache/hadoop/hive/llap/security/LlapDaemonPolicyProvider.java,42,4,2,0,2,2,4643384.0,4643384.0,1.0,1,2,0
llap-server/src/java/org/apache/hadoop/hive/llap/security/LlapSecurityHelper.java,156,1,2,0,2,2,4643384.0,4643384.0,1.0,1,2,0
llap-server/src/java/org/apache/hadoop/hive/llap/security/LlapServerSecurityInfo.java,83,5,2,0,2,2,4643384.0,4643384.0,1.0,1,2,0
llap-server/src/test/org/apache/hadoop/hive/llap/daemon/impl/TestLlapDaemonProtocolServerImpl.java,112,38,11,0,5,5,3178467.5,3178467.5,2.2,1,7,4
{llap-server/src/java/org/apache/tez/dag/app/rm => llap-tez/src/java/org/apache/hadoop/hive/llap/tezplugins}/ContainerFactory.java,1,1,1,0,1,1,0.0,0.0,1.0,1,1,0
{llap-server => llap-tez}/src/java/org/apache/hadoop/hive/llap/tezplugins/LlapContainerLauncher.java,0,0,1,0,1,1,0.0,0.0,1.0,1,1,0
{llap-server => llap-tez}/src/java/org/apache/hadoop/hive/llap/tezplugins/LlapTaskCommunicator.java,8,6,1,0,1,1,0.0,0.0,1.0,1,1,0
{llap-server/src/java/org/apache/tez/dag/app/rm => llap-tez/src/java/org/apache/hadoop/hive/llap/tezplugins}/LlapTaskSchedulerService.java,1,1,1,0,1,1,0.0,0.0,1.0,1,1,0
llap-tez/src/java/org/apache/hadoop/hive/llap/tezplugins/LlapTezUtils.java,29,0,1,0,1,1,0.0,0.0,1.0,1,1,0
{llap-server => llap-tez}/src/java/org/apache/hadoop/hive/llap/tezplugins/LlapUmbilicalPolicyProvider.java,0,0,1,0,1,1,0.0,0.0,1.0,1,1,0
{llap-server => llap-tez}/src/java/org/apache/hadoop/hive/llap/tezplugins/helpers/SourceStateTracker.java,4,11,1,0,1,1,0.0,0.0,1.0,1,1,0
{llap-server => llap-tez}/src/test/org/apache/hadoop/hive/llap/tezplugins/TestLlapTaskCommunicator.java,0,0,1,0,1,1,0.0,0.0,1.0,1,1,0
{llap-server/src/test/org/apache/tez/dag/app/rm => llap-tez/src/test/org/apache/hadoop/hive/llap/tezplugins}/TestLlapTaskSchedulerService.java,2,3,1,0,1,1,0.0,0.0,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/TezSessionState.java,610,271,33,1,14,14,1282347.0,1282347.0,2.357142857142857,1,17,16
ql/src/java/org/apache/hadoop/hive/ql/optimizer/BucketingSortingReduceSinkOptimizer.java,120,12,19,1,10,10,2410128.777777778,2410128.777777778,1.9,1,6,13
ql/src/java/org/apache/hadoop/hive/ql/optimizer/SortedDynPartitionOptimizer.java,249,228,15,0,8,8,3098737.0,3098737.0,1.875,1,7,8
ql/src/java/org/apache/hadoop/hive/ql/parse/ParseContext.java,138,331,7,0,5,5,5371366.666666667,5371366.666666667,1.4,1,3,4
ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/translator/HiveOpConverter.java,5092,802,47,6,14,14,527370.1739130435,527370.1739130435,3.357142857142857,1,24,23
ql/src/java/org/apache/hadoop/hive/ql/optimizer/ppr/PartitionPruner.java,634,390,23,0,12,12,1853864.6818181819,1853864.6818181819,1.9166666666666667,1,10,13
ql/src/java/org/apache/hadoop/hive/ql/parse/CalcitePlanner.java,5166,1204,87,4,20,20,390528.38372093026,390528.38372093026,4.35,1,49,38
ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,7325,6353,117,1,28,28,372496.5086206897,372496.5086206897,4.178571428571429,1,61,56
ql/src/java/org/apache/hadoop/hive/ql/plan/ExprNodeGenericFuncDesc.java,41,33,8,0,5,5,2848674.1428571427,2848674.1428571427,1.6,1,3,5
common/src/test/org/apache/hadoop/hive/conf/TestHiveConf.java,76,4,4,0,4,4,11407109.0,11407109.0,1.0,1,3,1
itests/util/src/main/java/org/apache/hadoop/hive/ql/QTestUtil.java,1462,687,57,6,19,19,725360.3035714285,725360.3035714285,3.0,1,30,27
ql/src/java/org/apache/hadoop/hive/ql/exec/DDLTask.java,1881,2207,56,0,21,21,782631.8,782631.8,2.6666666666666665,1,27,29
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/DagUtils.java,384,166,30,1,15,15,1484301.6896551724,1484301.6896551724,2.0,1,15,15
ql/src/java/org/apache/hadoop/hive/ql/optimizer/GenMapRedUtils.java,678,384,41,0,17,17,1076118.725,1076118.725,2.411764705882353,1,23,18
ql/src/java/org/apache/hadoop/hive/ql/parse/GenTezProcContext.java,119,4,14,0,9,9,3124629.0,3124629.0,1.5555555555555556,1,6,8
ql/src/java/org/apache/hadoop/hive/ql/plan/TezWork.java,117,31,8,0,7,7,5802882.428571428,5802882.428571428,1.1428571428571428,1,3,5
ql/src/test/org/apache/hadoop/hive/ql/exec/tez/TestTezTask.java,71,10,4,0,2,2,13540059.0,13540059.0,2.0,1,1,3
ql/src/test/org/apache/hadoop/hive/ql/plan/TestTezWork.java,77,1,2,0,2,2,40620177.0,40620177.0,1.0,1,0,2
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/TezSessionPoolManager.java,616,157,16,0,8,8,2708059.8,2708059.8,2.0,1,9,7
ql/src/java/org/apache/hadoop/hive/ql/exec/spark/HashTableLoader.java,420,53,24,0,12,12,1386507.347826087,1386507.347826087,2.0,1,12,12
ql/src/test/org/apache/hadoop/hive/ql/exec/tez/TestTezSessionPool.java,192,111,9,0,6,6,5077401.875,5077401.875,1.5,1,6,3
service/src/java/org/apache/hive/service/server/HiveServer2.java,1539,348,39,1,13,13,1068926.7105263157,1068926.7105263157,3.0,1,17,22
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/TezTask.java,467,87,35,0,15,15,1194633.3235294118,1194633.3235294118,2.3333333333333335,1,16,19
ql/src/java/org/apache/hadoop/hive/ql/hooks/ATSHook.java,222,103,19,0,11,11,2092364.7222222222,2092364.7222222222,1.7272727272727273,1,9,10
ql/src/java/org/apache/hadoop/hive/ql/exec/persistence/HashMapWrapper.java,114,46,7,0,5,5,5290114.0,5290114.0,1.4,1,4,3
ql/src/java/org/apache/hadoop/hive/ql/exec/persistence/HybridHashTableContainer.java,4223,793,41,1,15,15,657042.5,657042.5,2.7333333333333334,1,23,18
ql/src/java/org/apache/hadoop/hive/ql/exec/persistence/MapJoinBytesTableContainer.java,1072,287,29,0,13,13,1339830.7857142857,1339830.7857142857,2.230769230769231,1,15,14
ql/src/java/org/apache/hadoop/hive/ql/exec/persistence/MapJoinKey.java,55,91,10,0,6,6,3526742.6666666665,3526742.6666666665,1.6666666666666667,1,5,5
ql/src/java/org/apache/hadoop/hive/ql/exec/persistence/MapJoinTableContainer.java,65,14,9,0,6,6,3285212.5,3285212.5,1.5,1,6,3
ql/src/java/org/apache/hadoop/hive/ql/exec/persistence/MapJoinTableContainerSerDe.java,398,75,11,0,7,7,3174068.4,3174068.4,1.5714285714285714,1,6,5
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/HashTableLoader.java,861,268,32,1,14,14,1210169.7419354839,1210169.7419354839,2.2857142857142856,1,15,17
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/mapjoin/fast/VectorMapJoinFastHashTableLoader.java,357,15,8,0,7,7,3325853.4285714286,3325853.4285714286,1.1428571428571428,1,4,4
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/mapjoin/fast/VectorMapJoinFastTableContainer.java,741,50,17,0,12,12,1455060.875,1455060.875,1.4166666666666667,1,9,8
llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/QueryInfo.java,305,32,6,2,1,1,4335586.2,4335586.2,6.0,6,6,0
llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/TaskExecutorService.java,1295,557,25,5,4,4,1018379.8333333334,1018379.8333333334,6.25,1,22,3
llap-client/src/java/org/apache/hadoop/hive/llap/registry/ServiceInstanceSet.java,8,0,1,0,1,1,0.0,0.0,1.0,1,1,0
llap-client/src/java/org/apache/hadoop/hive/llap/registry/impl/LlapFixedRegistryImpl.java,33,13,3,0,2,2,2164387.0,2164387.0,1.5,1,3,0
llap-client/src/java/org/apache/hadoop/hive/llap/registry/impl/LlapRegistryService.java,40,2,2,0,2,2,4328774.0,4328774.0,1.0,1,2,0
llap-client/src/java/org/apache/hadoop/hive/llap/registry/impl/LlapYarnRegistryImpl.java,94,38,3,0,2,2,2164387.0,2164387.0,1.5,1,3,0
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/CustomPartitionVertex.java,331,127,14,0,9,9,3104949.923076923,3104949.923076923,1.5555555555555556,1,9,5
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/HiveSplitGenerator.java,578,576,26,2,13,13,1614573.96,1614573.96,2.0,1,15,11
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/HostAffinitySplitLocationProvider.java,86,0,1,0,1,1,0.0,0.0,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/SplitGrouper.java,510,125,13,0,8,8,3117448.4166666665,3117448.4166666665,1.625,1,9,4
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/Utils.java,58,0,1,0,1,1,0.0,0.0,1.0,1,1,0
ql/src/test/org/apache/hadoop/hive/ql/exec/tez/TestHostAffinitySplitLocationProvider.java,163,0,1,0,1,1,0.0,0.0,1.0,1,1,0
llap-server/src/java/org/apache/hadoop/hive/llap/tezplugins/LlapTaskCommunicator.java,926,171,25,6,5,5,1156517.3333333333,1156517.3333333333,5.0,1,16,9
llap-server/src/java/org/apache/hadoop/hive/llap/tezplugins/helpers/SourceStateTracker.java,316,20,8,1,3,3,3579538.285714286,3579538.285714286,2.6666666666666665,1,5,3
llap-server/src/test/org/apache/hadoop/hive/llap/daemon/impl/TaskExecutorTestHelpers.java,271,7,4,1,1,1,4522134.333333333,4522134.333333333,4.0,4,3,1
llap-server/src/test/org/apache/hadoop/hive/llap/daemon/impl/comparator/TestFirstInFirstOutComparator.java,2,1,1,0,1,1,0.0,0.0,1.0,1,0,1
llap-server/src/gen/protobuf/gen-java/org/apache/hadoop/hive/llap/daemon/rpc/LlapDaemonProtocolProtos.java,16074,1521,10,0,4,4,3457076.0,3457076.0,2.5,1,10,0
llap-server/src/java/org/apache/hadoop/hive/llap/daemon/HistoryLogger.java,176,13,5,0,3,3,6939269.75,6939269.75,1.6666666666666667,1,4,1
llap-server/src/java/org/apache/hadoop/hive/llap/daemon/KilledTaskHandler.java,32,2,3,0,1,1,11104401.0,11104401.0,3.0,3,3,0
llap-server/src/java/org/apache/hadoop/hive/llap/daemon/QueryFailedHandler.java,23,1,2,0,1,1,19154025.0,19154025.0,2.0,2,2,0
llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/AMReporter.java,545,67,14,3,4,4,1941345.8461538462,1941345.8461538462,3.5,1,12,2
llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/QueryIdentifier.java,63,0,1,0,1,1,0.0,0.0,1.0,1,1,0
llap-server/src/java/org/apache/hadoop/hive/llap/tezplugins/Converters.java,268,3,4,0,1,1,9252077.0,9252077.0,4.0,4,4,0
llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/LlapTaskReporter.java,486,33,6,4,1,1,5047483.2,5047483.2,6.0,6,5,1
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/VectorCoalesce.java,21,2,1,0,1,1,0.0,0.0,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/txn/AcidCompactionHistoryService.java,83,0,1,0,1,1,0.0,0.0,1.0,1,1,0
ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/HouseKeeperServiceBase.java,92,0,1,0,1,1,0.0,0.0,1.0,1,1,0
itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/txn/compactor/TestCompactor.java,1348,124,22,0,9,9,2025776.7142857143,2025776.7142857143,2.4444444444444446,1,9,13
metastore/src/java/org/apache/hadoop/hive/metastore/HiveMetaStore.java,3344,2179,86,3,26,26,471961.6352941177,471961.6352941177,3.3076923076923075,1,44,42
metastore/src/java/org/apache/hadoop/hive/metastore/HouseKeeperService.java,162,0,5,0,3,3,3442742.25,3442742.25,1.6666666666666667,1,4,1
metastore/src/java/org/apache/hadoop/hive/metastore/txn/CompactionInfo.java,123,6,10,0,5,5,2880912.111111111,2880912.111111111,2.0,1,4,6
metastore/src/java/org/apache/hadoop/hive/metastore/txn/CompactionTxnHandler.java,862,475,24,0,10,10,1615729.1739130435,1615729.1739130435,2.4,1,11,13
metastore/src/java/org/apache/hadoop/hive/metastore/txn/TxnDbUtil.java,85,47,7,0,6,6,5486192.833333333,5486192.833333333,1.1666666666666667,1,3,4
metastore/src/java/org/apache/hadoop/hive/metastore/txn/TxnHandler.java,2636,1350,49,1,10,10,886277.3125,886277.3125,4.9,1,26,23
metastore/src/test/org/apache/hadoop/hive/metastore/txn/TestCompactionTxnHandler.java,234,86,9,0,6,6,3241026.125,3241026.125,1.5,1,8,1
ql/src/java/org/apache/hadoop/hive/ql/txn/AcidHouseKeeperService.java,449,62,9,0,5,5,1721371.125,1721371.125,1.8,1,7,2
ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/Cleaner.java,295,87,17,0,8,8,2507296.1875,2507296.1875,2.125,1,10,7
ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/CompactorMR.java,219,108,30,0,11,11,1383335.8275862068,1383335.8275862068,2.727272727272727,1,13,17
ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/Initiator.java,172,71,28,0,10,10,1485805.148148148,1485805.148148148,2.8,1,15,13
ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/Worker.java,225,91,25,0,10,10,1671530.7916666667,1671530.7916666667,2.5,1,13,12
ql/src/test/org/apache/hadoop/hive/ql/TestTxnCommands2.java,1848,91,29,0,13,13,910997.8214285715,910997.8214285715,2.230769230769231,1,17,12
ql/src/test/org/apache/hadoop/hive/ql/txn/compactor/TestCleaner.java,520,102,15,0,9,9,2865481.3571428573,2865481.3571428573,1.6666666666666667,1,7,8
ql/src/test/org/apache/hadoop/hive/ql/txn/compactor/TestWorker.java,863,206,19,0,9,9,2228707.722222222,2228707.722222222,2.111111111111111,1,9,10
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/TezJobMonitor.java,883,470,37,1,15,15,1114141.6666666667,1114141.6666666667,2.466666666666667,1,15,22
ql/src/java/org/apache/hadoop/hive/ql/parse/ASTNode.java,714,82,9,0,5,5,1847519.875,1847519.875,1.8,1,8,1
ql/src/java/org/apache/hadoop/hive/ql/parse/SubQueryUtils.java,114,78,9,0,8,8,4111008.0,4111008.0,1.125,1,3,6
common/src/java/org/apache/hadoop/hive/conf/Validator.java,70,0,2,0,1,1,32828996.0,32828996.0,2.0,2,1,1
llap-server/src/java/org/apache/hadoop/hive/llap/cache/BuddyAllocator.java,763,181,23,3,4,4,1452869.8636363635,1452869.8636363635,5.75,1,20,3
llap-server/src/java/org/apache/hadoop/hive/llap/cache/LowLevelCacheMemoryManager.java,113,34,14,0,4,4,2134487.153846154,2134487.153846154,3.5,1,12,2
llap-server/src/java/org/apache/hadoop/hive/llap/cache/LowLevelLrfuCachePolicy.java,391,163,19,2,3,3,1785475.2777777778,1785475.2777777778,6.333333333333333,1,18,1
llap-server/src/java/org/apache/hadoop/hive/llap/io/encoded/OrcEncodedDataReader.java,1355,337,44,3,6,6,650945.5116279069,650945.5116279069,7.333333333333333,1,37,7
llap-server/src/test/org/apache/hadoop/hive/llap/cache/TestBuddyAllocator.java,376,97,17,3,4,4,1997696.0625,1997696.0625,4.25,1,15,2
